is_static,is_code_smell
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
False,True
